=== SYSTEM STATUS ===;;;;;;;
System Mode: OPEN LOOP;;;;;;;
Sensor Mode: NORMAL;;;;;;;
Manual MI: 1.000;;;;;;;
Manual Duty Cycle: 0.700;;;;;;;
POD PWM Debug: DISABLED;;;;;;;
MLBC Debug: DISABLED;;;;;;;
MLBC: STOPPED;MANUAL;Target:0.00%;Actual:0.00%;Vin:0.0V;Vout:0.0V;Iin:0.0A;Faults:0x00
====================;;;;;;;
;;;;;;;
AC Sensor initialized;;;;;;;
Configuration: 200 samples per cycle; 5 cycles per measurement;;;;;;
Total buffer size: 2000 samples (1000V + 1000I);;;;;;;
Sampling rate: 10.0 kHz (TIM3 shared with POD PWM);;;;;;;
AC Sensor started - DMA acquisition active (triggered by TIM3 at 10.0kHz);;;;;;;
DC Sensor initialized;;;;;;;
Voltage range: 0-28.0V; Current range: 0-25.0A;;;;;;
Protection thresholds: V>29.0V; I>25.0A;;;;;;
DC Sensor started - Continuous ADC acquisition active;;;;;;;
System Initialization Complete;;;;;;;
Start/Stop button pressed! Switching to: RUNNING;;;;;;;
Starting entire system...;;;;;;;
POD_PWM_Enable called with: 1 (was: 0);;;;;;;
POD PWM enabled;;;;;;;
System started successfully;;;;;;;
=== CALIBRATION MODE ACTIVATED ===;;;;;;;
Waiting for complete buffer (2000 samples over 100ms)...;;;;;;;
AC Sensor mode changed: NORMAL → CALIBRATION;;;;;;;
DC Sensor mode changed to: CALIBRATION;;;;;;;
=== AC SENSOR CALIBRATION DATA START ===;;;;;;;
Configuration: 200 samples/cycle; 5 cycles; 100ms total;;;;;
Sample_Index;Voltage_ADC;Current_ADC;;;;;
0;1674;1210;;;;;
1;1699;1224;;;;;
2;1727;1248;;;;;
3;1759;1521;;;;;
4;1787;1489;;;;;
5;1809;1464;;;;;
6;1829;1437;;;;;
7;1864;1437;;;;;
8;1875;1426;;;;;
9;1910;1432;;;;;
10;1937;1414;;;;;
11;1964;1412;;;;;
12;1993;1424;;;;;
13;2007;1444;;;;;
14;2033;1473;;;;;
15;2057;1465;;;;;
16;2065;1474;;;;;
17;2072;1489;;;;;
18;2078;1497;;;;;
19;2095;1517;;;;;
20;2105;1527;;;;;
21;2151;1527;;;;;
22;2193;1509;;;;;
23;2204;1533;;;;;
24;2220;1577;;;;;
25;2227;1591;;;;;
26;2242;1606;;;;;
27;2268;1619;;;;;
28;2293;1642;;;;;
29;2301;1669;;;;;
30;2315;1674;;;;;
31;2332;1686;;;;;
32;2333;1729;;;;;
33;2347;1790;;;;;
34;2363;1846;;;;;
35;2375;1884;;;;;
36;2379;1906;;;;;
37;2397;1936;;;;;
38;2401;1952;;;;;
39;2415;1978;;;;;
40;2418;1985;;;;;
41;2433;1983;;;;;
42;2431;2002;;;;;
43;2439;1995;;;;;
44;2449;1979;;;;;
45;2449;1968;;;;;
46;2452;1960;;;;;
47;2453;1943;;;;;
48;2458;1941;;;;;
49;2466;1928;;;;;
50;2467;1937;;;;;
51;2473;1916;;;;;
52;2466;1912;;;;;
53;2470;1908;;;;;
54;2455;1917;;;;;
55;2447;1920;;;;;
56;2419;1909;;;;;
57;2426;1926;;;;;
58;2412;1927;;;;;
59;2395;1919;;;;;
