=== SYSTEM STATUS ===;;;;;;;
System Mode: OPEN LOOP;;;;;;;
Sensor Mode: NORMAL;;;;;;;
Manual MI: 1.000;;;;;;;
Manual Duty Cycle: 0.700;;;;;;;
POD PWM Debug: DISABLED;;;;;;;
MLBC Debug: DISABLED;;;;;;;
MLBC: STOPPED;MANUAL;Target:0.00%;Actual:0.00%;Vin:0.0V;Vout:0.0V;Iin:0.0A;Faults:0x00
====================;;;;;;;
;;;;;;;
AC Sensor initialized;;;;;;;
Configuration: 200 samples per cycle; 5 cycles per measurement;;;;;;
Total buffer size: 2000 samples (1000V + 1000I);;;;;;;
Sampling rate: 10.0 kHz (TIM3 shared with POD PWM);;;;;;;
AC Sensor started - DMA acquisition active (triggered by TIM3 at 10.0kHz);;;;;;;
DC Sensor initialized;;;;;;;
Voltage range: 0-28.0V; Current range: 0-25.0A;;;;;;
Protection thresholds: V>29.0V; I>25.0A;;;;;;
DC Sensor started - Continuous ADC acquisition active;;;;;;;
Fuzzy Controller initialized successfully;;;;;;;
Target: 220.0V; Range: ±1.0V; Output: 0.75-1.25 MI;;;;;
System Initialization Complete;;;;;;;
Start/Stop button pressed! Switching to: RUNNING;;;;;;;
Starting entire system...;;;;;;;
POD_PWM_Enable called with: 1 (was: 0);;;;;;;
POD PWM enabled;;;;;;;
System started successfully;;;;;;;
=== CALIBRATION MODE ACTIVATED ===;;;;;;;
Waiting for complete buffer (2000 samples over 100ms)...;;;;;;;
AC Sensor mode changed: NORMAL → CALIBRATION;;;;;;;
DC Sensor mode changed to: CALIBRATION;;;;;;;
=== AC SENSOR CALIBRATION DATA START ===;;;;;;;
Configuration: 200 samples/cycle; 5 cycles; 100ms total;;;;;
Sample_Index;Voltage_ADC;Current_ADC;;;;;
0;740;1204;;;;;
1;745;1101;;;;;
2;737;990;;;;;
3;743;980;;;;;
4;740;1235;;;;;
5;741;1161;;;;;
6;742;1070;;;;;
7;747;1011;;;;;
8;743;1228;;;;;
9;749;1120;;;;;
10;738;1040;;;;;
11;740;974;;;;;
12;751;1228;;;;;
13;743;1122;;;;;
14;747;1061;;;;;
15;742;989;;;;;
16;1026;681;;;;;
17;1019;735;;;;;
18;1035;749;;;;;
19;1033;780;;;;;
20;1021;903;;;;;
21;1028;894;;;;;
22;1029;877;;;;;
23;1032;852;;;;;
24;1037;900;;;;;
25;1031;900;;;;;
26;1033;886;;;;;
27;1033;865;;;;;
28;1047;967;;;;;
29;1025;968;;;;;
30;1031;984;;;;;
31;1028;1003;;;;;
32;1314;438;;;;;
33;1308;615;;;;;
34;1295;684;;;;;
35;1307;817;;;;;
36;1309;1033;;;;;
37;1308;1057;;;;;
38;1303;1051;;;;;
39;1301;1078;;;;;
40;1311;1209;;;;;
41;1303;1174;;;;;
42;1573;957;;;;;
43;1583;991;;;;;
44;1583;1010;;;;;
45;1577;1046;;;;;
46;1582;1080;;;;;
47;1578;1124;;;;;
48;1582;1197;;;;;
49;1575;1253;;;;;
50;1587;1286;;;;;
51;1578;1309;;;;;
52;1583;1336;;;;;
53;1577;1360;;;;;
54;1823;3309;;;;;
55;1856;2771;;;;;
56;1860;2521;;;;;
57;1857;2311;;;;;
